ID,Simplified,Traditional,Pinyin,POS,Level,WebNo,WebPinyin,OCR,Variants,CEDICT
L1-0118,哥哥|哥,哥哥|哥,gēge|gē,N,1,2682,gēge|gē,哥哥｜哥,"[{""Simplified"": ""哥哥"", ""Pinyin"": ""gēge"", ""POS"": ""N"", ""Traditional"": ""哥哥"", ""CEDICT"": ""哥哥|哥哥[ge1 ge5]""}, {""Simplified"": ""哥"", ""Pinyin"": ""gē"", ""POS"": ""N"", ""Traditional"": ""哥"", ""CEDICT"": ""哥|哥[ge1]""}]",哥哥|哥哥[ge1 ge5]
L1-0119,歌,歌,gē,N,1,2689,gē,歌,,歌|歌[ge1]
L1-0120,个,個,gè,M,1,2713,gè,个,,個|个[ge4]
L1-0121,给,給,gěi,V/Prep,1,2730,gěi,给,,給|给[gei3]
L1-0122,跟,跟,gēn,Prep/Conj/V,1,2738,gēn,跟,,跟|跟[gen1]
L1-0123,工人,工人,gōngrén,N,1,2761,gōngrén,工人,,工人|工人[gong1 ren2]
L1-0124,工作,工作,gōngzuò,V/N,1,2769,gōngzuò,工作,,工作|工作[gong1 zuo4]
L1-0125,关,關,guān,V,1,2955,guān,关（动）,,關|关[guan1]
L1-0126,关上,關上,guānshang,,1,2965,guānshang,关上,,關上|关上[guan1 shang4]
L1-0127,贵,貴,guì,Adj,1,3063,guì,贵,,貴|贵[gui4]
L1-0128,国,國,guó,N,1,3074,guó,国,,國|国[guo2]
L1-0129,国家,國家,guójiā,N,1,3084,guójiā,国家,,國家|国家[guo2 jia1]
L1-0130,国外,國外,guó wài,,1,3091,guó wài,国外,,國外|国外[guo2 wai4]
L1-0131,过,過,guò,V,1,3104,guò,过,,過|过[guo4]
L1-0132,还,還,hái,Adv,1,3138,hái,还,,還|还[hai2]
L1-0133,还是,還是,háishi,Adv/Conj,1,3139,háishi,还是,,還是|还是[hai2 shi5]
L1-0134,还有,還有,hái yǒu,,1,3140,hái yǒu,还有,,還有|还有[hai2 you3]
L1-0135,孩子,孩子,háizi,N,1,3141,háizi,孩子,,孩子|孩子[hai2 zi5]
L1-0136,汉语,漢語,Hànyǔ,N,1,3189,Hànyǔ,汉语,,漢語|汉语[Han4 yu3]
L1-0137,汉字,漢字,Hànzì,N,1,3190,Hànzì,汉字,,漢字|汉字[han4 zi4]
L1-0138,好,好,hǎo,Adj,1,3215,hǎo,好（形）,,好|好[hao3]
L1-0139,好吃,好吃,hǎochī,Adj,1,3219,hǎochī,好吃,,好吃|好吃[hao3 chi1]
L1-0140,好看,好看,hǎokàn,Adj,1,3228,hǎokàn,好看,,好看|好看[hao3 kan4]
L1-0141,好听,好聽,hǎotīng,Adj,1,3234,hǎotīng,好听,,好聽|好听[hao3 ting1]
L1-0142,好玩儿,好玩兒,hǎowánr,Adj,1,3235,hǎowánr,好玩儿,,好玩兒|好玩儿[hao3 wan2 r5]
L1-0143,号,號,hào,N/M,1,3245,hào,号,,號|号[hao4]
L1-0144,喝,喝,hē,V,1,3259,hē,喝,,喝|喝[he1]
L1-0145,和,和,hé,Prep/Conj,1,3284,hé,和,,和|和[he2]
L1-0146,很,很,hěn,Adv,1,3326,hěn,很,,很|很[hen3]
L1-0147,后,後,hòu,N,1,3366,hòu,后,,後|后[hou4]
L1-0148,后边,後邊,hòubian,N,1,3369,hòubian,后边,,後邊|后边[hou4 bian5]
L1-0149,后天,後天,hòutiān,N,1,3382,hòutiān,后天,,後天|后天[hou4 tian1]
L1-0150,花,花,huā,N,1,3429,huā,花（名）,,花|花[hua1]
L1-0151,话,話,huà,N,1,3475,huà,话,,話|话[hua4]
L1-0152,坏,壞,huài,Adj,1,3489,huài,坏,,壞|坏[huai4]
L1-0153,还,還,huán,V,1,3499,huán,还,,還|还[huan2]
L1-0154,回,回,huí,V,1,3558,huí,回（动）,,回|回[hui2]
L1-0155,回答,回答,huídá,V/N,1,3562,huídá,回答,,回答|回答[hui2 da2]
L1-0156,回到,回到,huídào,V,1,3563,huídào,回到,,回到|回到[hui2 dao4]
L1-0157,回家,回家,huí jiā,,1,3568,huí jiā,回家,,回家|回家[hui2 jia1]
L1-0158,回来,回來,huílái,,1,3571,huí∥·lái,回来,,回來|回来[hui2 lai5]
L1-0159,回去,回去,huíqù,,1,3573,huí∥·qù,回去,,回去|回去[hui2 qu5]
L1-0160,会,會,huì,V,1,3595,huì,会（动）,,會|会[hui4]
L1-0161,火车,火車,huǒchē,N,1,3637,huǒchē,火车,,火車|火车[huo3 che1]
L1-0162,机场,機場,jīchǎng,N,1,3678,jīchǎng,机场,,機場|机场[ji1 chang3]
L1-0163,机票,機票,jīpiào,N,1,3686,jīpiào,机票,,機票|机票[ji1 piao4]
L1-0164,鸡蛋,雞蛋,jīdàn,N,1,3696,jīdàn,鸡蛋,,雞蛋|鸡蛋[ji1 dan4]
L1-0165,几,幾,jǐ,Num/Pron,1,3773,jǐ,几,,幾|几[ji3]
L1-0166,记,記,jì,V,1,3785,jì,记,,記|记[ji4]
L1-0167,记得,記得,jìde,V,1,3786,jìde,记得,,記得|记得[ji4 de5]
L1-0168,记住,記住,jìzhù,,1,3793,jìzhù,记住,,記住|记住[ji4 zhu5]
L1-0169,家,家,jiā,N/M,1,3849,jiā,家,,家|家[jia1]
L1-0170,家里,家裡,jiā li,,1,3857,jiā li,家里,,家裡|家里[jia1 li3]
L1-0171,家人,家人,jiārén,N,1,3859,jiārén,家人,,家人|家人[jia1 ren2]
L1-0172,间,間,jiān,M,1,3914,jiān,间,,間|间[jian1]
L1-0173,见,見,jiàn,V,1,3968,jiàn,见,,見|见[jian4]
L1-0174,见面,見面,jiànmiàn,,1,3972,jiàn∥miàn,见面,,見面|见面[jian4 mian4]
L1-0175,教,教,jiāo,V,1,4083,jiāo,教,,教|教[jiao1]
L1-0176,叫,叫,jiào,V,1,4107,jiào,叫（动）,,叫|叫[jiao4]
L1-0177,教学楼,教學樓,jiàoxuélóu,N,1,4126,jiàoxuélóu,教学楼,,教學樓|教学楼[jiao4 xue2 lou2]
